,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Use
150,nan,nan,'NO_LABEL','State and Federal Projects Coordination Services*','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Classroom Supplies','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Administration','General Supplies *','ESEA TITLE I',nan,nan,nan,11002.03,'NO_LABEL'
151,0.041794438,nan,'NO_LABEL','CAMPS',nan,'Community School Child Care ','COMMUNITY EDUCATION','SALARIES OF PART TIME EMPLOYEE','NO_LABEL',"'Operating, Not PreK-12'",'PARAPROFESSIONAL','NO_LABEL','NO_LABEL','COMMUNITY SERVICE','NO_LABEL','NO_LABEL','NO_LABEL','DISTRICT SPECIAL REVENUE FUNDS',nan,'COMMUNITY SERVICES OPERATION',nan,nan,nan,933.2687911,'NO_LABEL'
152,nan,nan,'Social & Emotional','STUDENT SERVICES/CHARTER SCHLS',nan,'Social Worker ','SOCIAL WORK SERVICES','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Social Worker','NO_LABEL','SOCIAL WORK SERVICES','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'STUDENTS','STUDENT SERVICES CHARTER SCHOO','n/a',nan,245.98264,'Pupil Services & Enrichment'
153,0,nan,'Student Transportation','PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','LEAD DRIVER/LIAISON           ','TRANSPORTATION                ','BONUSES                       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'Non-School','Shared Services','Unspecified',nan,nan,nan,nan,nan,nan,106.36,'O&M'
154,nan,nan,'Physical Health & Services','EMPLOYEE RETIREMENT',nan,'Nurse ','SCHOOL NURSE SERVICES','RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Nurse','NO_LABEL','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,879.26,'Pupil Services & Enrichment'
155,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','DEGREED SUBSTITUTE','Substitute','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',188.1559722,'Instruction'
156,nan,nan,'Security & Safety','Security And Monitoring Services','General Operating Fund','SECURITY OFFICER','School ','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','POLICE PATROL MAN','School Monitor/Security','Non PreK','Undistributed','School','School Reported','Unspecified',"""Principals' Budgets""",'Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'Undistributed',128.21,'O&M'
157,nan,nan,'Untracked Budget Set-Aside','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Personal Services - Employees Salaries and Wages','Other Compensation/Stipend','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Shared Services','Unspecified','Support Services - Instructional Staff','Personal Services - Employees Salaries And Wages','JUMP TO IT',nan,nan,nan,31661.0912,'Untracked Budget Set-Aside'
158,nan,nan,'Social & Emotional','NON-PROJECT',nan,'Psychologist ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,259.48,'Pupil Services & Enrichment'
159,nan,nan,'Teacher Compensation','NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1.63,'Instruction'
160,nan,nan,'Teacher Compensation','EMPLOYEE RETIREMENT',nan,'Teacher',nan,'RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Teacher','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,572.58,'Instruction'
161,nan,nan,'Teacher Compensation','EXTENDED LEARNING',nan,"'Teacher, Summer School '",'ALL SCHOOLS-UNDISTRIBUTED','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','School on Central Budgets','Unspecified','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,1198.55616,'Instruction'
162,nan,'Transportation Department','Enrichment','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION, AIDE,REGULAR'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER AIDE','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,nan,10.68,'Pupil Services & Enrichment'
163,nan,nan,'Parent & Community Relations','Other Support Services - Instructional Staff*','General',nan,nan,'Technical Equipment','Equipment & Equipment Lease','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Support Services - Instructional Staff','Equipment *','FAMILY & COMMUNITY ENGAGE',nan,nan,nan,3050.5,'Pupil Services & Enrichment'
164,nan,nan,'Other Compensation','NON-PROJECT',nan,'Geographic Systems Analyst ','PLANNING AND INNOVATION','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-215.13,'Instruction'
165,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','DEGREED SUBSTITUTE','Substitute','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',189.2259722,'Instruction'
166,nan,nan,'Curriculum Development','Instruction','General Operating Fund','SKILLS SPECIALIST','School ','Salaries Or Wages For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','TEACHER MASTER','Instructional Coach','PreK','PRE-K','School','School Reported','Unspecified',"""Principals' Budgets""",'Salaries Or Wages For Support Personnel','CURRICULUM WRITING',nan,nan,nan,409.3910474,'ISPD'
167,1,nan,'Governance','Office of the Treasurer','General','CHIEF FIN & ADM OFFICER','TREASURY DEPARTMENT','Regular *','Base Salary/Compensation','PreK-12 Operating',nan,'(Exec) Director','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Fiscal Services',nan,'ADMINISTRATION','ADM/PROF',nan,nan,251896.8145,'Leadership'
168,nan,nan,'Library & Media','TITLE I',nan,'Library Media Center ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','Librarian','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,8.25,'Instruction'
169,nan,nan,'Human Resources','NON-PROJECT',nan,"'Dir, Human Resources '",'HUMAN RESOURCES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','ADMINISTRATOR','Coordinator/Manager','NO_LABEL','STAFF SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,471.88,'Business Services'
170,nan,nan,'School Administration','NON-PROJECT',nan,'Bookkeeper II ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Sec/Clerk/Other Admin','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-124.17,'Leadership'
171,0.773298826,nan,'School Administration',nan,'General Purpose School','TCHER 4TH GRADE',nan,'Personal Services - Assistant Principals','Base Salary/Compensation','PreK-12 Operating','ASST PRINCIPAL','Vice Principal','Non PreK',"""Principal's Office""",'School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Office of Principal',53340.57,'Leadership'
172,nan,nan,'School Administration','EMPLOYEE RETIREMENT',nan,'Asst Principal',nan,'RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Vice Principal','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,941.72,'Leadership'
173,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','NON DEGREED SUBSTITUTE','Substitute','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',82.97398707,'Instruction'
174,1,nan,'Aides Compensation',nan,nan,"'EDUCATIONAL AIDE,SPED,70H'",nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'TA','NO_LABEL',nan,'School','School Reported','Special Education','LOCAL',nan,nan,'SPECIAL EDUCATION INSTRUCTION',nan,nan,33176.12687,'Instruction'
175,nan,nan,'Parent & Community Relations','PARENTAL INVOLVEMENT          ','FED THRU STATE-CASH ADVANCE   ','FOOD SERVICE ASSISTANT        ','School ','EXTRA DUTY PAY NON-INSTRUCTION','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'School','School Reported','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,32.89,'Pupil Services & Enrichment'
176,nan,'Instruction And Curriculum','NO_LABEL','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'Summer School','Salaries And Wages For Teachers And Other Professi','NO_LABEL','Non-Operating','TEACHER BACHELOR','NO_LABEL','NO_LABEL',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'NO_LABEL','NO_LABEL','NO_LABEL',"'""Title  Part A Improving Basic Programs""'",'Extended Year','EXTENDED YEAR',nan,nan,nan,1537.748647,'NO_LABEL'
177,nan,'Transportation Department','Enrichment','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,nan,36.42,'Pupil Services & Enrichment'
178,0.52455539,nan,'Food Services','NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD PREPARATION/SERVING','School','School Reported','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,7174.681747,'O&M'
179,nan,nan,'Facilities & Maintenance','MAINTENANCE AND OPERATING','General Fund',nan,nan,'SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,57.3,'NO_LABEL'
180,nan,nan,'Student Transportation','NON-PROJECT',nan,'Special Needs Bus Asst ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','Other','NO_LABEL','TRANSPORTATION-OPERATIONS','Non-School','Shared Services','Special Education','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,37.34,'O&M'
181,nan,nan,'NO_LABEL','FACILITIES ACQ AND CONST      ','MILLAGE                  ',nan,'School ','NONCAPITALIZED  REMOD/RENOV   ','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL',nan,nan,'GENERAL MAINTENANCE-Host Bgt  ',nan,nan,nan,780.35,'NO_LABEL'
182,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,'Data Processor II ','WAREHOUSE OPERATIONS','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','WAREHOUSE & DISTRIBUTION','Non-School','Shared Services','Unspecified','LEVY OVERRIDE',nan,'BUSINESS','WAREHOUSE','n/a',nan,906.59496,'O&M'
183,nan,nan,'Aides Compensation','NON-PROJECT',nan,'ELA General Assignment ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','TA','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','ELL','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-49.14,'Instruction'
184,nan,nan,'Curriculum Development','URBAN PRINCIPALS LDRSHP PROG',nan,"'Principal, Elementary '",'LEADERSHIP DEVELOPMENT','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','ADMINISTRATOR','Principal','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Leadership & Management','Unspecified','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,546.83,'ISPD'
185,1,nan,'Special Population Program Management & Support','Special Education Services - Support Staff*',"'IDEA, Part B Special Education, Education of Handicapped Children'",'INTERIM EX DIR OF HUMANWARE','CHIEF ACADEMIC OFFICER','Regular *','Base Salary/Compensation','PreK-12 Operating',nan,'(Exec) Director','Non PreK',nan,'Non-School','Leadership & Management','Special Education','Support Services - Administration',nan,'IDEA B ','ADM/PROF',nan,nan,91465.1389,'ISPD'
186,nan,nan,'NO_LABEL','Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Regular *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Special Instruction','Certificated Employees Salaries And Wages','ESEA TITLE I',nan,nan,nan,-231995.22,'NO_LABEL'
187,nan,nan,'School Administration','NON-PROJECT',nan,'(blank)',nan,'OTHER PURCHASED SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,175.32,'Leadership'
188,1,'Student Services','Research & Accountability','Data Processing Services','General Operating Fund','STUDENT SERVICES DEPARTMENT','Administration - No Description Provided','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','DIRECTOR','(Exec) Director','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,89378.36149,'Leadership'
189,nan,'Instruction And Curriculum','Curriculum Development','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",'SKILLS SPECIALIST','Summer School','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Instructional Coach','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'Non-School','Leadership & Management','Poverty',"'""Title  Part A Improving Basic Programs""'",'Extra Duty Wages','CURRICULUM WRITING',nan,nan,nan,886.5538617,'ISPD'
190,nan,nan,'NO_LABEL','Other Executive Administration Services*','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Administration','Non-Certificated Salaries And Wages','SUMMER SCHOOL ',nan,nan,nan,-2991.61,'NO_LABEL'
191,nan,'Campus Overtime','Untracked Budget Set-Aside','Instruction','General Operating Fund',nan,'Undistributed','Social Security / Medicare','Benefits','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK','Basic Educational Services','Non-School','School on Central Budgets','Unspecified','Operations','Social Security / Medicare','MEDICARE EMPLOYER EXPENSE',nan,nan,'Basic Educational Services - District Objective ',93.11,'Untracked Budget Set-Aside'
192,0,nan,'Substitute Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ','Substitute Compensation','PreK-12 Operating',nan,'Substitute','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,2252.97,'Instruction'
193,nan,nan,'Other Non-Compensation','TUITION BASED - ECE',nan,'(blank)',nan,'OTHER PROFESSIONAL SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','PreK','EARLY CHILDHOOD','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,204.47,'Instruction'
194,nan,nan,'Insurance','INSTRUCTION RELATED TECHNOLOGY','GENERAL FUND                  ',nan,'RISK MANAGEMENT               ','SOFTWARE SUBSCRIPTIONS        ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'COMPUTER MAINT CONTRACT       ',nan,nan,nan,3537.35,'Business Services'
195,0.666678383,nan,'School Supervision','NON-PROJECT',nan,"'Supt, Instructional '",'ES TEAM ','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Area Officers','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,84124.99627,'Leadership'
196,nan,nan,'NO_LABEL','Summer Remediation *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Personal Services - Employees Salaries and Wages','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Other Instruction','Personal Services - Employees Salaries And Wages','SCHOOLWIDE-AAPS ',nan,nan,nan,1522.18,'NO_LABEL'
197,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.73672,'ISPD'
198,nan,nan,'Human Resources','NON-PROJECT',nan,'Human Resources Generalist ','HUMAN RESOURCES','EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','STAFF SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,504.17,'Business Services'
199,nan,nan,'Instructional Materials & Supplies','Elementary','General',nan,nan,'Classroom Supplies','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'School','School Reported','Unspecified','Regular Instruction','General Supplies *','SCHOOL BASED MANAGEMENT',nan,nan,nan,7000.16,'Instruction'
200,nan,nan,'Facilities & Maintenance','MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Shared Services','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,4680.6,'NO_LABEL'
201,1,nan,'Food Services','FOOD SERVICE                  ','FOOD SERVICES                 ',"'MANAGER III, FOOD SERVICE     '",'School ','OTHER SUPPORT PERSONNEL       ','Base Salary/Compensation','PreK-12 Operating',nan,'Coordinator/Manager','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,42343.12109,'O&M'
202,nan,nan,'Facilities & Maintenance',nan,'LOCAL FUND',nan,nan,'PURCHASES - EQUIPMENT AND MACHINERY','Equipment & Equipment Lease','PreK-12 Operating',"'PURCHASED ASSETS, MINOR EQUIP & RENTAL'",'Non-Position','NO_LABEL','INSTRUCTIONAL PROGRAMS','School','School Reported','Unspecified','LOCAL',nan,nan,'INSTRUCTIONAL TECH AND SYSTEM SUPPORT',nan,nan,5499.41,'O&M'
203,nan,nan,'Other Non-Compensation','EXCEPTIONAL                   ','GENERAL FUND                  ',nan,'School ','RENTALS                       ','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Special Education',nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,145.32,'Instruction'
204,nan,nan,'Teacher Compensation','SPECIAL ED. - SEVERE NEEDS',nan,"'Teacher,Spec Ed Center Prg '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','SPECIAL EDUCATION-HD MIDDLE','School','School Reported','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,1863.98648,'Instruction'
205,nan,nan,'Professional Development','ALIGNING TEACHER PERFORMANCE',nan,'Psychologist ','TEACHER EFFECTIVENESS','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','STAFF SERVICES','Non-School','School on Central Budgets','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'CENTRAL','TEACHER EFFECTIVENESS','n/a',nan,44.32,'ISPD'
206,nan,nan,'Physical Health & Services','SPECIAL ED. - SEVERE NEEDS',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Speech Therapist','NO_LABEL','SPECIAL EDUCATION-S/L','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','n/a',nan,1092.30208,'Pupil Services & Enrichment'
207,nan,nan,'NO_LABEL','INSTRUCTION','Title II',nan,nan,'SCHOOLWIDE SCHOOLS','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',"'Title II-A, Improving Teacher Quality'",'School','School Reported','NO_LABEL','TITLE II-A-IMPROVING TEACHER QUALITY',nan,nan,nan,nan,nan,nan,'NO_LABEL'
208,0,nan,'Enrichment',nan,'General Purpose School',nan,nan,'Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','CCOACH CERT TCHRACCT','Club Advisor/Coach','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',2829.71,'Pupil Services & Enrichment'
209,nan,nan,"'Finance, Budget, Purchasing & Distribution'",'NON-PROJECT',nan,"'Manager, Disbursing '",'DISBURSING','CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Coordinator/Manager','NO_LABEL','EMPLOYEE BENEFITS','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1146.19,'Business Services'
210,nan,'Instruction And Curriculum','Aides Compensation','Instruction','Idea Part B Formula',"'CLASSROOM AIDE, SP.ED.,STR.LRN'",'Summer School','Salaries Or Wages For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','AB AIDE','TA','Non PreK','Services To Students With Disabilities (Special Education)','Non-School','Shared Services','Special Education','Idea Part B Formula','Salaries Or Wages For Support Personnel','EXTENDED DAYS',nan,nan,'Extra Duty Salary',599.51,'Instruction'
211,nan,nan,'Professional Development','ARRA - NBPTS CERT TCHR GRANT',nan,"'Facilitator, Sec Math/Sci '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Instructional Coach','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','School on Central Budgets','Unspecified','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,10126.79688,'ISPD'
212,0,nan,'Social & Emotional',nan,'School Federal Projects',nan,nan,'Personal Services - Other Personnel','Base Salary/Compensation','PreK-12 Operating','Para Professional Social Worke','Social Worker','Non PreK','Support - Regular Instruction','School','School Reported','Poverty',nan,nan,'ESEA TITLE I DISADVANTAGED',nan,nan,'Title I - Supervisors',4182.551419,'Pupil Services & Enrichment'
213,nan,nan,'School Administration','NON-PROJECT',nan,'General Office ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PARAPROFESSIONAL','Other','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,3610.12,'Leadership'
214,1,nan,'Teacher Compensation',nan,'General Fund','Teacher-Elementary ',nan,nan,'NO_LABEL','PreK-12 Operating','2ND GRADE ','Teacher','NO_LABEL','PRIMARY GRADES PROGRAM ','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,51928.94,'Instruction'
215,nan,nan,'Extended Time & Tutoring','PARENTAL INVOLVEMENT          ','FED THRU STATE-CASH ADVANCE   ','LITERACY COACH                ','School ','EXTRA DUTY PAY-INSTRUCTIONAL  ','Other Compensation/Stipend','PreK-12 Operating',nan,'Instructional Coach','NO_LABEL',nan,'School','School Reported','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,84.78,'Instruction'
216,nan,nan,'School Supervision',nan,nan,nan,'ADMIN. SERVICES',nan,'Other Compensation/Stipend','PreK-12 Operating',nan,'Substitute','NO_LABEL',nan,'Non-School','NO_LABEL','NO_LABEL',nan,nan,nan,nan,nan,nan,1000.32,'NO_LABEL'
217,nan,nan,'Teacher Compensation','ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,504.14,'Instruction'
218,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.27672,'ISPD'
