,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Unnamed: 0
283,0.28125008831199999,nan,'School Supervision','NON-PROJECT',nan,'Administrators ','ES TEAM ','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Other','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,36406.472344399997,84540
284,nan,nan,'Facilities & Maintenance','EMPLOYEE RETIREMENT',nan,'Custodian Asst I ',nan,'RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Custodian','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,240.38999999999999,84583
285,nan,'Transportation Department','Student Transportation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','EXTENDED DAYS',nan,nan,'transportation - Second Runs',63.649999999999999,84870
286,nan,"'""Technology Department, Administration""'",'Facilities & Maintenance','Instruction','General Operating Fund',nan,'School ','Contracted Maintenance And Repair','Contracted Services','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Basic Educational Services','School','School Reported','Unspecified',nan,'Contracted Maintenance And Repair - Furniture And',nan,nan,nan,'Basic Educational Services - District Objective ',324.99000000000001,85063
287,0.0,nan,'Teacher Compensation',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','TIME CARD CERTIFIEDAddl','Teacher','Non PreK','Instruction - Regular','Non-School','School on Central Budgets','Alternative',nan,nan,nan,nan,nan,'Alternative Schools Instruction',1327.79,85892
288,nan,'Custodial Department','Facilities & Maintenance','Facilities Maintenance And Operations','General Operating Fund','CUSTODIAN REGULAR','School ','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','HEAD CUS MIDDLE SCHOOL ','Custodian','Non PreK','Undistributed','School','School Reported','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','OVERTIME',nan,nan,nan,2111.96,85908
289,nan,'Transportation Department','Other Compensation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','FIELD TRIPS',nan,nan,'transportation - Second Runs',27.449999999999999,87233
290,nan,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, SPECIAL EDUCATION'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','Services To Students With Disabilities (Special Education)','School','School Reported','Special Education','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,1563.23660541,87236
291,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.736719999999998,87306
292,nan,nan,'NO_LABEL','Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Student Transportation Purchased from Other Sources','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Pupil Transportation *',' TITLE I PI+HOMELESS',nan,nan,nan,-466.38,87398
293,nan,nan,'Other Compensation','NON-PROJECT',nan,'Program Specialist ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1221.6799999999996,87476
294,0.89394453047000011,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ','SECRETARY II                  ','GROWTH                        ','OTHER SUPPORT PERSONNEL       ','Base Salary/Compensation','PreK-12 Operating',nan,'Sec/Clerk/Other Admin','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,nan,nan,nan,nan,32755.76751590001,87537
295,1.0,nan,'Teacher Compensation',nan,nan,"'TEACHER,ENGLISH'",nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Unspecified','LOCAL',nan,nan,'GENERAL EDUCATION',nan,nan,120105.11961700002,87621
296,nan,nan,'Career & Academic Counseling','NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','GUIDANCE SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,7746.5402400000003,88061
297,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,37.956720000000004,88268
298,1.0,nan,'Parent & Community Relations',nan,'General Fund','School Liaison',nan,nan,'NO_LABEL','PreK-12 Operating','BILINGUAL','Other','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,25744.669999999998,88273
299,0.0,nan,'Student Transportation','PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','MECHANIC                      ','TRANSPORTATION                ','ALL OTHER SUPPLEMENTS         ','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'Non-School','Shared Services','Special Education',nan,nan,nan,nan,nan,nan,59.280000000000001,89135
300,nan,nan,'Untracked Budget Set-Aside','INST & CURRICULUM DEV SVCS    ','FED THRU STATE-CASH ADVANCE   ','FAMILY/SCHOOL LIAISON         ','School ','FICA                          ','Benefits','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,-0.40000000000000002,89198
301,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,"'Secretary, Executive II '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','Sec/Clerk/Other Admin','NO_LABEL','INFORMATION SYSTEMS SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'CENTRAL','ITEMGG-CIO/CTO','n/a',nan,3899.0100000000002,89901
302,nan,nan,'Curriculum Development',nan,'INTRADISTRICT FUNDS',nan,'OFFICE OF CAREER AND TECHNICAL EDUCATION','PROF SERVICE FEES AND CONTR','Contracted Services','PreK-12 Operating','OTHER SERVICES & CHARGES','Non-Position','NO_LABEL','INSTRUCTIONAL SUPPORT SERVICES','Non-School','Leadership & Management','Alternative','VOCATIONAL EDUCATION - CARL D. PERKINS',nan,nan,'LOCAL GRANTS ADMINISTRATION',nan,nan,130027.47,90155
303,nan,nan,'Physical Health & Services','MEDICAID',nan,'Vision Screening Tech II ','SPECIAL EDUCATION','EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','Other','NO_LABEL','NURSING SERVICES','Non-School','Leadership & Management','Special Education','DISTRICT SPECIAL REVENUE FUNDS',nan,'STUDENTS','MEDICAID','n/a',nan,20.920000000000002,90333
304,nan,nan,'NO_LABEL','State and Federal Projects Coordination Services*','School to Work',nan,nan,'Other Utilities Services *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Administration','Utilities Services','ITEMAI-CITY-YTH EMP & OPP ',nan,nan,nan,-403.89999999999998,91431
305,nan,nan,'NO_LABEL','INSTRUCTION','General Fund',nan,nan,'OTHER PURCHASED SERVICES','Contracted Services','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,326.60000000000002,91654
306,nan,nan,'Substitute Compensation','NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'TEACHER COVERAGE FOR TEACHER','Substitute Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,254.71832000000001,91813
307,nan,nan,'Library & Media','NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','SCHOOL LIBRARY SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,84.219999999999999,91844
308,1.0,'PSYCHOLOGICAL SERVICES','Special Population Program Management & Support',nan,'General Purpose School','PSYCHOLOGIST (SPECIAL ED ','District Wide Resources','Personal Services - Psychologists','Base Salary/Compensation','PreK-12 Operating','PSYCHOLOGICAL ','Psychologist','Non PreK',"""Principal's Office""",'Non-School','School on Central Budgets','Special Education',nan,nan,nan,nan,nan,'Special Education Support',80668.190000000002,91861
309,nan,nan,'Utilities','NON-PROJECT',nan,'(blank)','CONTEMPORARY LEARNING ZUNI','NATURAL GAS','Rent/Utilities','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','n/a',nan,6996.3199999999997,91886
310,1.0,nan,'School Administration','SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','PRINCIPAL-MIDDLE              ','School ','ADMINISTRATOR                 ','Base Salary/Compensation','PreK-12 Operating',nan,'Principal','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,113311.87108699999,92013
311,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','LEGAL SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,130168.72,92046
312,nan,nan,'Social & Emotional','NON-PROJECT',nan,'Psychologist ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,219.05000000000001,92872
313,nan,nan,'Curriculum Development','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Other General Supplies','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'School','School Reported','Unspecified','Support Services - Instructional Staff','General Supplies *','INTEL ISEF MINORITY OUTRE',nan,nan,nan,-1799.79,92889
314,nan,nan,'Library & Media','NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2634.6377600000001,93099
315,nan,nan,'Insurance','STAFF SERVICES                ','GENERAL FUND                  ',nan,'RISK MANAGEMENT               ','OTHER PURCHASED SERVICES      ','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'RISK MANAGEMENT               ',nan,nan,nan,30042.880000000001,93637
316,nan,nan,'Parent & Community Relations','NON-PROJECT',nan,'Studnt Parnt Famly Involvmt ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-446.42000000000002,93642
317,nan,nan,'Student Transportation',nan,'LOCAL FUND',nan,nan,'TRAVEL - LOCAL','Travel & Conferences','PreK-12 Operating','OTHER SERVICES & CHARGES','Non-Position','NO_LABEL','INSTRUCTIONAL SUPPORT SERVICES','School','School Reported','Unspecified','LOCAL',nan,nan,'TRANSPORTATION',nan,nan,6999.7600000000002,94499
318,nan,nan,'School Administration','TITLE I - CENTRAL PROGRAMS',nan,'Secretary II ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','Sec/Clerk/Other Admin','NO_LABEL','COMMUNITY SERVICE','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'COMMUNITY SERVICES OPERATION',nan,'Regular',nan,61.238320000000002,94531
319,0.0,nan,'Substitute Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ','Substitute Compensation','PreK-12 Operating',nan,'Substitute','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,163.34,94649
320,nan,nan,'NO_LABEL','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,1430.73,95168
321,nan,'Instruction And Curriculum','Student Assignment','School Leadership',"'""Title  Part A Improving Basic Programs""'","'CLERICAL, SCHOOL ADMIN.'",'School ','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','REGISTRAR','Sec/Clerk/Other Admin','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',"'""Title  Part A Improving Basic Programs""'",'Extra Duty Pay/Overtime For Support Personnel','MISCELLANEOUS ',nan,nan,'Extra Duty',320.30000000000001,95432
322,nan,nan,'Professional Development','TITLE III  ELA',nan,'Project Coordinator ','ENGLISH FOR SPEAKERS OF OTHER','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Coordinator/Manager','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','ELL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,1572.54,95516
323,0.038793103448300004,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Turnaround',nan,987.60144621199993,95848
324,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','DEGREED SUBSTITUTE','Substitute','Non PreK','Bilingual Education And Special Language Programs','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,94.277986111000004,96320
325,nan,nan,'NO_LABEL','Non-Public School Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Capital Outlay','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Capital Outlay','ARRA - NONPUBLIC SET ASID',nan,nan,nan,3913.7600000000002,96693
326,nan,nan,'NO_LABEL','Non-Public School Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Regular *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Community Services','Certificated Employees Salaries And Wages','ARRA - NONPUBLIC SET ASID',nan,nan,nan,-5436.4699999999984,96926
327,nan,nan,'Physical Health & Services','EMPLOYEE RETIREMENT',nan,'Occupational Therapist ','SPECIAL EDUCATION','RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Occupational Therapist','NO_LABEL','EMPLOYEE BENEFITS','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,842.49000000000001,96966
328,nan,nan,'Security & Safety','NON-PROJECT',nan,'Campus Security Officer ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','School Monitor/Security','NO_LABEL','SCHOOL SECURITY','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','Regular',nan,141.63,97081
329,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','COPYING','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,3691.4099999999999,97650
330,0.0043103448275900007,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,109.937938468,98121
331,0.0,nan,'Enrichment',nan,'General Purpose School',nan,nan,'Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','CCOACH CERT TCHRACCT','Club Advisor/Coach','Non PreK','Instruction - Regular','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instruction',4515.6500000000015,98488
332,nan,nan,'NO_LABEL',nan,'LOCAL FUND',nan,nan,'ADDITIONAL INCOME ALLOWANCE','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL','SCHOOL SYSTEM MAGEMENT','NO_LABEL','NO_LABEL','NO_LABEL','LOCAL',nan,nan,'SCHOOL LEADERSHIP',nan,nan,-0.22,98925
333,nan,nan,'Security & Safety','Security And Monitoring Services','General Operating Fund','SECURITY OFFICER','School ','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','POLICE PATROL MAN','School Monitor/Security','Non PreK','Undistributed','School','School Reported','Unspecified',"""Principals' Budgets""",'Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'Undistributed',128.21000000000001,99049
334,nan,'School Board','Governance','General Administration','General Operating Fund',nan,'School Board','Miscellaneous Operating Costs','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified',nan,'Fees (Not Associated With Travel)',nan,nan,nan,nan,1774.3199999999999,99178
335,nan,nan,'Student Transportation','NON-PROJECT',nan,'Route Scheduler II ','TRANSPORTATION','EMPLOYER PD MED CONTRIBUTION','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','PUPIL TRANSPORTATION SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'STUDENT TRANSPORTATION',nan,'n/a',nan,503.83999999999997,99397
336,1.0,nan,'Student Transportation',nan,'General Fund','Bus Driver                              ','Transportation',nan,'NO_LABEL','PreK-12 Operating','BUS DRIVER                              ','Other','NO_LABEL','PUPIL TRANSPORTATION','Non-School','Shared Services','NO_LABEL',nan,nan,nan,nan,nan,nan,21927.6158932,99832
337,0.46999999999999997,nan,'Social & Emotional','GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-MIDDLE              ','School ','OTHER CERTIFIED               ','Base Salary/Compensation','PreK-12 Operating',nan,'Guidance Counselor','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,30057.121610799997,100282
338,nan,'Finance Department','Instructional Materials & Supplies','Instruction','General Operating Fund',nan,'School ','Miscellaneous Operating Costs','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Basic Educational Services','School','School Reported','Unspecified',nan,'Software License - Web Access',nan,nan,nan,'Basic Educational Services - District Objective ',567.48000000000002,100587
339,nan,nan,'Food Services','SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,1085.73,101228
340,0.0,nan,'Substitute Compensation',nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','Substitute Compensation','PreK-12 Operating','SUBSTITUTE TEACHER','Substitute','Non PreK','Instruction - Regular','School','School Reported','Alternative',nan,nan,nan,nan,nan,'Alternative Schools Instruction',70.129999999999995,101397
341,nan,nan,'Curriculum Development',nan,nan,'GRADE LEVEL/DEPT CHA',nan,'Department Chair Supp','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,1677.3199999999999,102346
342,nan,'WRITING TEAMS                 ','Curriculum Development','INST & CURRICULUM DEV SVCS    ','FED THRU STATE-CASH ADVANCE   ',"'TEACHER, SECOND               '",'School ','EXTRA DUTY PAY-INSTRUCTIONAL  ','Other Compensation/Stipend','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,338.88,102517
343,nan,nan,'Security & Safety','NON-PROJECT',nan,'Campus Security Officer ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','School Monitor/Security','NO_LABEL','SCHOOL SECURITY','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','Alternative',nan,300.70999999999998,102533
344,0.167812616045,nan,'Social & Emotional','NON-PROJECT',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,11886.598312399999,102770
345,nan,nan,'School Administration','NON-PROJECT',nan,'Bookkeeper II ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Sec/Clerk/Other Admin','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-124.17,102810
346,nan,nan,"'Finance, Budget, Purchasing & Distribution'",'GRANT ACCOUNTING',nan,"'Accountant, General I '",'GENERAL LEDGER ACCOUNTING','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','FINANCIAL ACCOUNTING SERVICES','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'BUSINESS','GENERAL LEDGER ACCOUNTING','n/a',nan,1322.5899999999999,102863
347,nan,'Instruction And Curriculum','Aides Compensation','Instruction','Idea Part B Formula',"'CLASSROOM AIDE, SP.ED.,STR.LRN'",'Summer School','Salaries Or Wages For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','AB AIDE','TA','Non PreK','Services To Students With Disabilities (Special Education)','Non-School','Shared Services','Special Education','Idea Part B Formula','Salaries Or Wages For Support Personnel','EXTENDED DAYS',nan,nan,'Extra Duty Salary',599.50999999999999,102914
348,nan,nan,'NO_LABEL','Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Other Awards and Prizes','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Special Instruction','Awards And Prizes *',' TITLE I BLDG ALLOC',nan,nan,nan,-164.52000000000001,103471
349,0.83999999999999997,'Transportation Department','Student Transportation','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Undistributed','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','BUS DRIVER','Other','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Transportation - Bus Drivers',16540.538156799998,103525
350,nan,nan,'Curriculum Development','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Other General Supplies','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'School','School Reported','Unspecified','Support Services - Instructional Staff','General Supplies *','FND-ACADEM CAP BLDG',nan,nan,nan,-18929.380000000001,104121
351,nan,nan,'Data Processing & Information Services','INSTRUCTION','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES-TECHNOLOGY RELATED','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Shared Services','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,27249.630000000001,104427
352,1.0,nan,'Career & Academic Counseling',nan,nan,'COUNSELOR',nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Guidance Counselor','NO_LABEL',nan,'School','School Reported','Alternative','LOCAL',nan,nan,'ALTERNATIVE EDUCATION',nan,nan,132247.73630699998,105048
353,nan,nan,'Professional Development','Summer Remediation *','Special Trust',nan,nan,'Regular *','Base Salary/Compensation','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','School on Central Budgets','Unspecified','Other Instruction','Non-Certificated Salaries And Wages','CTAG',nan,nan,nan,-961085.82999999996,105852
354,1.0,nan,'Development & Fundraising','State and Federal Projects Coordination Services*','Title I - Disadvantaged Children/Targeted Assistance','FIN SUPPORT ANA FUNDED PROG','BUDGET DIVISION','Regular *','Base Salary/Compensation','PreK-12 Operating',nan,'Other','Non PreK',nan,'Non-School','Leadership & Management','Poverty','Support Services - Administration',nan,'ADMIN','ADM/PROF',nan,nan,64672.794744400002,106029
