,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
246,nan,'Research And Evaluation',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'TEACHER, VOCATIONAL EDUCATION'",'Undistributed','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Undistributed','Operations','Extra Duty Wages','EXTENDED YEAR',nan,nan,'Undistributed',650.6424776
247,nan,nan,'NON-PROJECT',nan,'Social Worker ','TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,247.47088
248,nan,nan,'CLASS-SIZE RELIEF FUND',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2483.02376
249,nan,'Transportation Department','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,nan,36.42
250,nan,nan,'NON-PROJECT',nan,"'ProTech, Hrly '",'MULTILINGUAL OUTREACH','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1.4
251,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,23283.42
252,nan,nan,'Non-Public School Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Capital Outlay',nan,nan,'Community Services','Capital Outlay','ARRA - NONPUBLIC SET ASID',nan,nan,nan,3913.76
253,0.03,'Warehousing','Facilities Maintenance And Operations','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Undistributed','Salaries Or Wages For Support Personnel','TEMPORARY EMPLOYEE','Undistributed','Operations','Temporary / Part-Time Support Personnel','REGULAR PAY',nan,nan,nan,990.2670431
254,0.739087302,nan,'NON-PROJECT',nan,'Health Technician ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,11834.6172
255,nan,nan,'FACILITIES ACQ AND CONST      ','MILLAGE                  ',nan,'School ','NONCAPITALIZED  REMOD/RENOV   ',nan,nan,nan,nan,'GENERAL MAINTENANCE-Host Bgt  ',nan,nan,nan,780.35
256,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",'SKILLS SPECIALIST','Summer School','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extra Duty Wages','CURRICULUM WRITING',nan,nan,nan,886.5538617
257,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',"'TEACHER, SCIENCE-MIDDLE       '",'School ','ALL OTHER SUPPLEMENTS         ',nan,nan,nan,nan,nan,nan,nan,nan,651.72
258,nan,nan,'NON-PROJECT',nan,"'Supt, Instructional '",'ES TEAM ','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,10891.16584
259,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'KINDERGARTEN',"'KINDERGARTEN, QBE'",nan,nan,nan,nan,nan,32.94
260,1,nan,'Special Education Services - Support Staff*',"'IDEA, Part B Special Education, Education of Handicapped Children'",'INTERIM EX DIR OF HUMANWARE','CHIEF ACADEMIC OFFICER','Regular *',nan,nan,'Support Services - Administration',nan,'IDEA B ','ADM/PROF',nan,nan,91465.1389
261,nan,'Child Nutrition','Food Services (Child Nutrition Fund Only)','National School Breakfast And Lunch Program',"'CAFETERIA EMPLOYEE, FOOD SERV.'",'School ','Extra Duty Pay/Overtime For Support Personnel','REG FOOD SERVICE WORKER ','Undistributed','Child Nutrition','Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'Undistributed',130.48
262,nan,nan,'ARRA EDUCATION STABILITAZION',nan,"'Teacher, ITEMGB  '",'OPPORTUNITY SCHOOL','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','ITEMGB - TRADE AND INDUSTRIAL ED','ARRA - STIMULUS',nan,'EDUCATION FOR ADULTS','ADULT VOC ED OPPORTUNITY','Alternative',nan,1113.3
263,1,nan,nan,nan,'LIBRAIAN',nan,nan,nan,nan,'LOCAL',nan,nan,'GENERAL EDUCATION',nan,nan,79166.42892
264,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Regular *',nan,nan,'Special Instruction','Certificated Employees Salaries And Wages','ESEA TITLE I',nan,nan,nan,-231995.22
265,1,nan,'Guidance Services *','General',"'GUID COUNSELOR, HEAD'",'IN OTH CERTIFICATED PERSON','Regular *',nan,nan,'Support Services--Pupils','Certificated Employees Salaries And Wages','SCHOOL BASED MANAGEMENT','TEACHERSUP',nan,nan,114177.427
266,nan,nan,'NON-PROJECT',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,15.32
267,nan,nan,'Other Executive Administration Services*','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *',nan,nan,'Support Services - Administration','Non-Certificated Salaries And Wages','SUMMER SCHOOL ',nan,nan,nan,-2991.61
268,nan,nan,'EMPLOYEE RETIREMENT',nan,'Office Support II ','ADMISSIONS AND STUDENT RECORDS','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,412.81
269,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,23.41
270,0.666683195,nan,'NON-PROJECT',nan,"'Student Advisor, High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GUIDANCE SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,54270.32649
271,0,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,2252.97
272,nan,nan,'TUITION BASED - ECE',nan,'(blank)',nan,'OTHER PROFESSIONAL SERVICES','UNDESIGNATED','EARLY CHILDHOOD','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,204.47
273,nan,nan,'INSTRUCTION RELATED TECHNOLOGY','GENERAL FUND                  ',nan,'RISK MANAGEMENT               ','SOFTWARE SUBSCRIPTIONS        ',nan,nan,nan,nan,'COMPUTER MAINT CONTRACT       ',nan,nan,nan,3537.35
274,nan,nan,'INSTRUCTION','General Fund',nan,nan,'DUES AND FEES',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,95.27
275,0.666678383,nan,'NON-PROJECT',nan,"'Supt, Instructional '",'ES TEAM ','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,84124.99627
276,nan,nan,'Summer Remediation *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Personal Services - Employees Salaries and Wages',nan,nan,'Other Instruction','Personal Services - Employees Salaries And Wages','SCHOOLWIDE-AAPS ',nan,nan,nan,1522.18
277,1.016328853,nan,'NON-PROJECT',nan,"'Teacher, Secondary (High) '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Turnaround',nan,46284.95194
278,nan,nan,'NON-PROJECT',nan,'Human Resources Generalist ','HUMAN RESOURCES','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-OTHER','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,504.17
279,nan,nan,'NON-PROJECT',nan,"'Coordinator, Central Curr '",'SCHOOL CHOICE','ADDITIONAL/EXTRA DUTY PAY/STIP','ADMINISTRATOR',"'PLANNING,RESEARCH,DEVELOPMENT'",'GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,548.28
280,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'SUPPLIES',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,97.45
281,nan,nan,'Elementary','General',nan,nan,'Classroom Supplies',nan,nan,'Regular Instruction','General Supplies *','SCHOOL BASED MANAGEMENT',nan,nan,nan,7000.16
282,nan,nan,'NON-PROJECT',nan,"'Dir, HRIS '",'HUMAN RESOURCES','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1054.39
283,nan,nan,'REVITALIZATION',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING',' MILL LEVY',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL PROFESSIONAL DEV','n/a',nan,71.04216
284,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'SEWER FEES','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','Regular',nan,3477.7
285,1,nan,'FOOD SERVICE                  ','FOOD SERVICES                 ',"'MANAGER III, FOOD SERVICE     '",'School ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,nan,nan,nan,nan,42343.12109
286,nan,nan,nan,'LOCAL FUND',nan,nan,'PURCHASES - EQUIPMENT AND MACHINERY',"'PURCHASED ASSETS, MINOR EQUIP & RENTAL'",'INSTRUCTIONAL PROGRAMS','LOCAL',nan,nan,'INSTRUCTIONAL TECH AND SYSTEM SUPPORT',nan,nan,5499.41
287,nan,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ',nan,'School ','RENTALS                       ',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,145.32
288,nan,nan,nan,'LOCAL FUND',nan,nan,'IT SUPPLIES','SUPPLIES AND MATERIALS','INSTRUCTIONAL PROGRAMS','LOCAL',nan,nan,'INSTRUCTIONAL TECH AND SYSTEM SUPPORT',nan,nan,1999.42
289,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev','Esea Title Ii Part A Teacher & Principal Training','AT RISK LITERACY TEACHER (LIBRARIAN)','School ','Salaries And Wages For Teachers And Other Professi','LITERACY SPECIALIST','Accelerated Education','Training And Recruiting','Extra Duty Wages','MISCELLANEOUS ',nan,nan,nan,1041.743981
290,nan,nan,'OPERATION OF PLANT            ','GENERAL FUND                  ','CUSTODIAN                     ','School ','TERMINAL LEAVE VACATION       ',nan,nan,nan,nan,'TERMINAL LEAVE                ',nan,nan,nan,642.81
291,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','MAINTENANCE OF SOFTWARE       ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,5999.65
292,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.42672
293,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,63.04
294,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'SKILLS SPECIALIST, ADITIONAL'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,208.8644093
295,nan,nan,'TITLE II-PART A-TEACHER QUALIT',nan,'(blank)','TEACHER LEARNING & LEADERSHIP','COPYING','UNDESIGNATED','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,1565.12
296,nan,nan,'OTHER INSTRUCTION             ','CONVERSION CHARTER SCHOOLS    ','ADULT ED PT - PUBLIC SERV     ','PUBLIC SAFETY COMPLEX CHARTER ','ADULT PART TIME               ',nan,nan,nan,nan,nan,nan,nan,nan,978.18
297,nan,nan,'INSTRUCTION','Title II',nan,nan,'SCHOOLWIDE SCHOOLS',nan,"'Title II-A, Improving Teacher Quality'",'TITLE II-A-IMPROVING TEACHER QUALITY',nan,nan,nan,nan,nan,nan
298,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','CCOACH CERT TCHRACCT','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',2829.71
299,nan,nan,'EXT DAY TUITION PAID KINDERGAR',nan,'(blank)',nan,'GENERAL SUPPLIES','UNDESIGNATED','GENERAL ELEMENTARY EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION','EXT DAY TUITION PAID KINDERGAR','Regular',nan,4.77
300,nan,nan,'NON-PROJECT',nan,"'Manager, Disbursing '",'DISBURSING','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1146.19
301,nan,'Instruction And Curriculum','Instruction','Idea Part B Formula',"'CLASSROOM AIDE, SP.ED.,STR.LRN'",'Summer School','Salaries Or Wages For Support Personnel','AB AIDE','Services To Students With Disabilities (Special Education)','Idea Part B Formula','Salaries Or Wages For Support Personnel','EXTENDED DAYS',nan,nan,'Extra Duty Salary',599.51
302,nan,nan,'ARRA - NBPTS CERT TCHR GRANT',nan,"'Facilitator, Sec Math/Sci '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,10126.79688
303,nan,nan,'NON-PROJECT',nan,'Social Worker ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,2520.86776
304,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'GENERAL SUPPLIES','UNDESIGNATED','ART EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1231.29
305,1,'All Campus Payroll','Health Services','General Operating Fund','SCHOOL CLINIC ADMINISTRATION','School ','Salaries And Wages For Teachers And Other Professi','NURSE','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',61422.82563
306,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,2.98
307,nan,nan,'TEACHER INCENTIVE FUND (TIF)',nan,"'Principal, Asst Middle Sch '",'TEACHER LEARNING & LEADERSHIP','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TIF GRANT','n/a',nan,4932.41
308,1,nan,nan,'General Fund','Teacher-Elementary ',nan,nan,'2ND GRADE ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,nan,51928.94
309,nan,nan,'OPERATION OF PLANT            ','GENERAL FUND                  ',nan,'School ','NON-CAPITALIZED COMPUTER HARDW',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,245.84
310,nan,nan,'NON-PROJECT',nan,'Teacher Secondary (Middle) ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2701.04064
311,nan,nan,'PARENTAL INVOLVEMENT          ','FED THRU STATE-CASH ADVANCE   ','LITERACY COACH                ','School ','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,'TITLE I                       ',nan,nan,nan,84.78
312,nan,nan,'EDUCATIONAL MEDIA SERVICE','General Fund',nan,nan,'SUPPLIES',nan,'MEDIA CENTERS','MEDIA CENTERS',nan,nan,nan,nan,nan,130.1
313,nan,nan,'NON-PROJECT',nan,'Teacher',nan,'TEACHER COVERAGE FOR TEACHER','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Turnaround',nan,141.50432
314,0.062438291,nan,'PARENTAL INVOLVEMENT          ','FED THRU STATE-CASH ADVANCE   ',"'TEMPORARY ASSIGN, CLERICAL    '",'FED COMPENSATORY ED PROG      ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,'TITLE I                       ',nan,nan,nan,1654.713342
315,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.27672
316,0.147720054,nan,' CNTRY COMMTY LRNG - ',nan,'Community School Child Care ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2984.567672
317,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'TRAVEL AND REGISTRATION','UNDESIGNATED','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,345.5
318,0.06,'Instruction And Curriculum','Health Services','Head Start','CLINIC AIDE','School ','Salaries Or Wages For Support Personnel','TEACHER BACHELOR','PRE-K','Head Start','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Regular Salary',3039.427111
319,nan,'Instruction and Curriculum','Extracurricular Activities','General Operating Fund',nan,'Undistributed','Miscellaneous Operating Costs',nan,'Undistributed',nan,'Food - Hospitality',nan,nan,nan,'Undistributed',209.02
320,nan,nan,'SCHOOL IMPROVEMENT GRANT',nan,"'Teacher, Elementary '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,74.0368
321,0.029633621,nan,'EXCELERATOR SCHOOLS',nan,"'Tutor, Avid '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-OTHER','AVID','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION','CHIEF ACADEMIC OFFICER','Regular',nan,630.795705
322,nan,nan,'NON-PROJECT',nan,"'Principal, Elementary '",nan,'EMPLOYEE BENEFITS','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,2385.1
323,0,nan,nan,'School Federal Projects',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,'RACE TO THE TOP',nan,nan,'Race to the Top ',707.9599
324,nan,nan,'Extracurricular Activities','Campus Activity Funds',nan,'School ','Reclassified Transportation Expenditures/Expense',nan,'Undistributed',nan,'Bus Charge from Transportation Department',nan,nan,nan,nan,260.24
325,nan,nan,'Instruction','Campus Activity Funds',nan,'School ','Miscellaneous Operating Costs',nan,'Basic Educational Services',nan,'Incentives (Participatory Activity)',nan,nan,nan,nan,1175.16
326,nan,nan,'EMPLOYEE RETIREMENT',nan,'General Assignment ','ES TEAM ','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,67.94
327,nan,'Child Nutrition','Food Services (Child Nutrition Fund Only)','National School Breakfast And Lunch Program',"'CLERICAL, FOOD SERVICE ADMN.'",'Undistributed','Extra Duty Pay/Overtime For Support Personnel','LARGE HS MGR','Undistributed','Child Nutrition','Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'Undistributed',684.96
328,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'NATURAL GAS','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','n/a',nan,50249.11
329,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'WATER/SEWAGE','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','Regular',nan,4764.01
330,0.200005497,nan,'TITLE I',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','FEDERAL GDPG FUND - FY ',nan,'STUDENTS',nan,'Regular',nan,19967.27923
331,1,'All Campus Payroll','Instruction','General Operating Fund',"'CLASSROOM AIDE, ESL ED.'",'School ','Salaries Or Wages For Support Personnel','AIDE',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,27846.08054
332,0.99997289,nan,'NON-PROJECT',nan,'Program Specialist ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','OTHER GENERAL EDUCATION','GENERAL FUND',nan,'OTHER EDUCATION',nan,'Alternative',nan,80557.68296
333,0,nan,nan,'General Purpose School',nan,nan,'Utilities - Water and Waste Water',nan,'Operations',nan,nan,nan,nan,nan,nan,13705.76
334,nan,nan,'Other Fiscal Services','General',nan,nan,'Fire and Extended Coverage Insurance',nan,nan,'Fiscal Services','Insurance *','RISK MANAGEMENT',nan,nan,nan,599763.44
335,nan,nan,'ELA S - TEACHING SPANISH ONLY',nan,"'Teacher, Elementary '",'ASSESSMENT & RESEARCH','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ASSESSMENT AND RESEARCH','n/a',nan,12.36176
336,nan,nan,'NON-PROJECT',nan,"'Supt, Instructional '",'ES TEAM ','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1590.12
337,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Alternative',nan,46.27
338,nan,nan,'School Leadership','Campus Activity Funds',nan,'School ','Insurance And Bonding Costs',nan,'Undistributed',nan,'Insurance And Bonding Costs',nan,nan,nan,nan,71.07
339,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','TEACHER ASSISTANT-ELEM        ','School ','BONUSES                       ',nan,nan,nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,172.96
340,nan,'Transportation Department','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','FIELD TRIPS',nan,nan,nan,282.27
341,0.01,'Transportation Department','Transportation','General Operating Fund',"'TEACHER, VOCATIONAL EDUCATION'",'Unallocated','Salaries Or Wages For Support Personnel','BUS DRIVER','Undistributed','Operations','Temporary / Part-Time Support Personnel','REGULAR PAY',nan,nan,'transportation - aides',812.2168546
342,nan,nan,'NON-PROJECT',nan,"'Supt, Instructional '",'MS TEAM ','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-757.71
343,nan,nan,'ALTERNATIVE ED-TITLE I-ARRA',nan,"'Teacher, Short Term Sub '",'HS TEAM ','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','ARRA - STIMULUS',nan,'REGULAR INSTRUCTION','GRANTS MANAGEMENT','n/a',nan,103.97064
344,nan,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ',nan,'School ','SUPPLIES                      ',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,499.33
345,nan,nan,'NON-PROJECT',nan,"'Facilitator, Elem Math/Sci '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','INSTRUCT STAFF TRAINING MATH','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,560.34
346,nan,nan,'Care and Upkeep of Building Services','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Overtime *',nan,nan,'Operation and Maintenance of Plant Services','Non-Certificated Salaries And Wages','PARENT INVOLVEMENT',nan,nan,nan,-348.88
347,nan,nan,'NON-PROJECT',nan,'Food Service Worker II ',nan,'EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,143.52
