,aid,budget,crime,duty_free_exports,eaa_rsa,education,immigration,infants,missile,party,physician,religious,salvador,satellite,superfund,synfuels,water
359,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,?,0
360,1,1,0,0,1,0,1,1,1,'democrat',0,1,0,1,1,0,0
361,0,1,1,0,?,0,1,1,1,'democrat',0,1,1,1,1,0,0
362,1,1,0,0,1,1,1,1,1,'democrat',0,1,0,1,1,1,1
363,0,0,0,0,0,0,1,1,0,'republican',1,1,1,0,1,1,1
364,0,0,1,0,1,0,0,1,0,'republican',1,1,1,0,1,1,1
365,0,0,1,0,0,0,1,0,0,'democrat',0,1,1,0,1,1,1
366,1,1,0,0,?,0,1,1,0,'democrat',0,0,0,1,0,1,0
367,1,1,0,1,?,0,1,1,0,'democrat',0,1,1,1,0,1,1
368,1,1,0,1,1,0,1,0,0,'democrat',0,1,0,1,0,0,1
369,0,0,1,0,1,0,0,0,0,'republican',1,1,1,0,1,0,1
370,1,1,0,1,1,?,1,1,0,'democrat',0,1,?,1,0,?,1
371,1,1,0,1,?,0,1,1,1,'democrat',0,0,?,1,0,0,1
372,0,1,1,0,0,1,0,0,0,'democrat',1,1,1,0,?,1,1
373,1,1,1,?,1,0,1,0,0,'democrat',?,1,1,0,1,?,1
374,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
375,0,0,1,0,0,1,0,0,0,'democrat',1,1,1,0,0,1,1
376,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,?
377,?,0,?,?,?,?,0,0,0,'republican',1,1,1,?,1,?,1
378,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,0
379,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,0
380,1,1,0,1,1,0,0,1,1,'democrat',0,1,0,?,1,1,1
381,1,1,1,0,?,0,1,1,1,'democrat',0,1,1,1,1,1,1
382,0,0,1,0,?,0,0,1,0,'democrat',1,1,1,0,1,1,1
383,1,1,0,0,1,0,1,1,1,'democrat',0,1,1,0,0,1,1
384,0,1,1,0,1,1,0,1,0,'democrat',1,1,1,0,1,1,1
385,0,0,1,1,0,1,0,1,0,'democrat',0,1,1,0,1,1,1
386,1,1,0,0,?,0,0,0,0,'democrat',0,1,1,0,0,1,?
387,1,1,1,0,?,0,0,1,1,'democrat',0,1,1,0,0,1,1
388,0,1,1,0,?,1,0,0,0,'democrat',1,1,1,0,1,0,1
389,1,1,0,1,?,0,?,1,1,'democrat',0,0,0,1,0,1,0
390,0,0,1,0,?,1,0,?,0,'democrat',0,1,?,?,0,1,?
391,1,0,0,1,0,0,0,1,1,'democrat',0,0,0,0,0,1,1
392,0,0,1,0,1,1,0,1,0,'republican',1,1,1,0,1,1,1
393,1,?,0,0,?,1,0,?,1,'republican',?,1,0,0,1,0,?
394,0,?,0,0,1,0,0,1,0,'democrat',?,1,?,0,1,1,1
395,1,1,0,1,1,?,0,1,0,'democrat',?,0,0,0,0,1,1
396,1,1,0,1,1,0,0,1,0,'democrat',0,1,1,0,1,1,1
397,0,0,1,0,1,0,0,1,0,'democrat',0,?,1,0,1,1,1
398,1,1,0,0,1,0,0,0,0,'democrat',0,1,1,0,0,0,1
399,0,0,1,0,0,1,1,0,0,'republican',1,1,?,0,1,0,1
400,?,0,1,0,?,?,0,0,0,'republican',1,1,1,0,?,?,1
401,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,1,1
402,1,1,1,0,1,1,1,?,1,'republican',1,1,0,1,0,0,0
403,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,?,0,1
404,0,0,1,0,1,1,1,1,0,'republican',1,1,1,0,1,0,1
405,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,0
406,0,1,1,0,1,0,1,1,1,'democrat',0,1,1,0,1,0,0
407,0,0,1,0,0,1,0,0,0,'democrat',1,1,1,0,1,1,0
408,1,1,1,1,1,1,0,1,1,'democrat',0,1,0,1,?,0,0
409,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
410,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,1,0
411,1,1,0,0,1,0,1,1,1,'democrat',0,1,0,1,0,1,0
412,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,0
413,1,1,1,0,1,?,1,1,0,'republican',1,1,1,1,?,?,1
414,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
415,1,1,0,0,1,0,1,0,?,'democrat',0,1,0,1,0,0,1
416,0,0,1,0,1,0,1,1,0,'republican',1,1,1,0,1,0,1
417,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,1,1,1
418,1,1,0,0,1,0,1,1,0,'democrat',0,0,0,1,0,0,1
419,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
420,1,1,1,0,1,0,1,1,0,'republican',1,1,1,1,1,0,1
421,1,1,0,1,1,0,0,0,0,'democrat',0,1,1,1,1,1,1
422,1,1,0,1,1,0,0,0,1,'democrat',0,1,0,1,0,1,0
423,1,1,1,1,1,0,0,0,1,'democrat',0,1,0,1,0,1,1
424,1,1,1,1,1,0,1,0,1,'democrat',0,?,0,1,?,1,1
425,1,1,0,1,?,0,1,0,0,'democrat',0,0,0,1,0,1,0
426,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
427,1,0,1,0,1,1,1,0,0,'republican',1,1,1,1,1,0,0
428,1,?,0,1,1,0,1,?,1,'democrat',0,0,0,1,1,0,?
429,1,1,?,1,1,1,1,1,1,'democrat',0,0,?,1,0,0,0
430,0,1,1,0,1,1,1,0,1,'republican',1,1,1,0,1,0,0
431,1,1,0,0,1,0,1,0,1,'democrat',0,0,0,1,0,0,0
432,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,1,?
433,?,0,1,0,1,1,?,0,?,'republican',1,1,1,?,1,0,0
434,0,0,1,?,0,1,1,0,0,'republican',1,1,1,0,1,0,1
